 2.12765957446809e+005    5.35064935064935e-003
 3.95136778115502e+005    4.23376623376623e-003
 6.38297872340426e+005    3.87012987012987e-003
 8.51063829787234e+005    3.63636363636364e-003
 1.06382978723404e+006    3.45454545454545e-003
 1.39817629179331e+006    3.35064935064935e-003
 1.70212765957447e+006    3.16883116883117e-003
 2.03647416413374e+006    3.16883116883117e-003
 2.37082066869301e+006    3.06493506493507e-003
 2.67477203647416e+006    3.01298701298701e-003
 3.10030395136778e+006    2.93506493506494e-003
 3.64741641337386e+006    2.83116883116883e-003
 4.28571428571429e+006    2.77922077922078e-003
 4.98480243161094e+006    2.70129870129870e-003
 5.71428571428571e+006    2.64935064935065e-003
 6.35258358662614e+006    2.59740259740260e-003
 7.02127659574468e+006    2.59740259740260e-003
 7.62917933130699e+006    2.57142857142857e-003
 8.26747720364742e+006    2.51948051948052e-003
 8.93617021276596e+006    2.46753246753247e-003
 9.57446808510638e+006    2.46753246753247e-003
