# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
35              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.05159209e+01	(-5.98615221e-04 9.00270144e-06 5.00000000e-02)	5
36              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.05582324e+01	(-5.98615221e-04 9.00270144e-06 5.00000000e-02)	5
37              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.06004531e+01	(-5.98615221e-04 9.00270144e-06 5.00000000e-02)	5
38              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.06425714e+01	(-5.98615221e-04 9.00270144e-06 5.00000000e-02)	5
39              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.06845995e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
40              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.07276423e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
41              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.07705090e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
42              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.08132324e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
43              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.08557620e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
44              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.08981791e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
45              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.09413758e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
46              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.09843764e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
47              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.10271285e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
48              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.10696659e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
49              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.11119387e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
50              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.11541421e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
51              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.11967817e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
52              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.12391533e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
53              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.12812091e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
54              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.13229829e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
55              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.13644292e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
56              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.14055814e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
57              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.14463964e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
58              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.14873195e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
59              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.15281314e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
60              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.15686051e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
61              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.16086998e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
62              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.16484487e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
63              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.16878133e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
